where                      	where
he                         	he
might                      	might
have                       	have
to                         	to
talk.                      	talk.
Matthew,                   	Matthew,
dressed                    	dressed
up                         	up
with                       	with
a                          	a
white                      	white
collar                     	collar
and                        	and
driving                    	driving
in                         	in
a                          	a
buggy,                     	buggy,
was                        	was
something                  	something
that                       	that
didn’t                     	didn't                     	.
happen                     	happen
often.                     	often.
Mrs.                       	Mrs.
Rachel,                    	Rachel,
ponder                     	ponder
as                         	as
she                        	she
might,                     	might,
could                      	could
make                       	make
nothing                    	nothing
of                         	of
it                         	it
and                        	and
her                        	her
afternoon’s                	afternoon's                	.
enjoyment                  	enjoyment
was                        	was
spoiled.                   	spoiled.
“I’ll                      	"I'll                      	.
just                       	just
step                       	step
over                       	over
to                         	to
Green                      	Green
Gables                     	Gables
after                      	after
tea                        	tea
and                        	and
find                       	find
out                        	out
from                       	from
Marilla                    	Marilla
where                      	where
he’s                       	he's                       	.
gone                       	gone
and                        	and
why,”                      	why,"                      	.
the                        	the
worthy                     	worthy
woman                      	woman
finally                    	finally
concluded.                 	concluded.
“He                        	"He                        	.
doesn’t                    	doesn't                    	.
generally                  	generally
go                         	go
to                         	to
town                       	town
this                       	this
time                       	time
of                         	of
year                       	year
and                        	and
he                         	he
_never_                    	never                      	.
visits;                    	visits;
if                         	if
he’d                       	he'd                       	.
run                        	run
out                        	out
of                         	of
turnip                     	turnip
seed                       	seed
he                         	he
wouldn’t                   	wouldn't                   	.
dress                      	dress
up                         	up
and                        	and
take                       	take
the                        	the
buggy                      	buggy
to                         	to
go                         	go
for                        	for
more;                      	more;
he                         	he
wasn’t                     	wasn't                     	.
driving                    	driving
fast                       	fast
enough                     	enough
to                         	to
be                         	be
going                      	going
for                        	for
a                          	a
doctor.                    	doctor.
Yet                        	Yet
something                  	something
must                       	must
have                       	have
happened                   	happened
since                      	since
last                       	last
night                      	night
to                         	to
start                      	start
him                        	him
off.                       	off.
I’m                        	I'm                        	.
clean                      	clean
puzzled,                   	puzzled,
that’s                     	that's                     	.
what,                      	what,
and                        	and
I                          	I
won’t                      	won't                      	.
know                       	know
a                          	a
minute’s                   	minute's                   	.
peace                      	peace
of                         	of
mind                       	mind
or                         	or
conscience                 	conscience
until                      	until
I                          	I
know                       	know
what                       	what
has                        	has
taken                      	taken
Matthew                    	Matthew
Cuthbert                   	Cuthbert
out                        	out
of                         	of
Avonlea                    	Avonlea
today.”                    	to-day."                   	.
Accordingly                	Accordingly
after                      	after
tea                        	tea
Mrs.                       	Mrs.
Rachel                     	Rachel
set                        	set
out;                       	out;
she                        	she
had                        	had
not                        	not
far                        	far
to                         	to
go;                        	go;
the                        	the
big,                       	big,
rambling,                  	rambling,
orchard-embowered          	orchard-embowered
house                      	house
where                      	where
the                        	the
Cuthberts                  	Cuthberts
lived                      	lived
was                        	was
a                          	a
scant                      	scant
quarter                    	quarter
of                         	of
a                          	a
mile                       	mile
up                         	up
the                        	the
road                       	road
from                       	from
Lynde’s                    	Lynde's                    	.
Hollow.                    	Hollow.
To                         	To
be                         	be
sure,                      	sure,
the                        	the
long                       	long
lane                       	lane
made                       	made
it                         	it
a                          	a
good                       	good
deal                       	deal
further.                   	further.
Matthew                    	Matthew
Cuthbert’s                 	Cuthbert's                 	.
father,                    	father,
as                         	as
shy                        	shy
and                        	and
silent                     	silent
as                         	as
his                        	his
son                        	son
after                      	after
him,                       	him,
had                        	had
got                        	got
as                         	as
far                        	far
away                       	away
as                         	as
he                         	he
possibly                   	possibly
could                      	could
from                       	from
his                        	his
fellow                     	fellow
men                        	men
without                    	without
actually                   	actually
retreating                 	retreating
into                       	into
the                        	the
woods                      	woods
when                       	when
he                         	he
founded                    	founded
his                        	his
homestead.                 	homestead.
Green                      	Green
Gables                     	Gables
was                        	was
built                      	built
at                         	at
the                        	the
furthest                   	furthest
edge                       	edge
of                         	of
his                        	his
cleared                    	cleared
land                       	land
and                        	and
there                      	there
it                         	it
was                        	was
to                         	to
this                       	this
day,                       	day,
barely                     	barely
visible                    	visible
from                       	from
the                        	the
main                       	main
road                       	road
along                      	along
which                      	which
all                        	all
the                        	the
other                      	other
Avonlea                    	Avonlea
houses                     	houses
were                       	were
so                         	so
sociably                   	sociably
situated.                  	situated.
Mrs.                       	Mrs.
Rachel                     	Rachel
Lynde                      	Lynde
did                        	did
not                        	not
call                       	call
living                     	living
in                         	in
such                       	such
a                          	a
place                      	place
_living_                   	living                     	.
at                         	at
all.                       	all.
“It’s                      	"It's                      	.
just                       	just
_staying_,                 	staying,                   	.
that’s                     	that's                     	.
what,”                     	what,"                     	.
she                        	she
said                       	said
as                         	as
she                        	she
stepped                    	stepped
along                      	along
the                        	the
deep-rutted,               	deep-rutted,
grassy                     	grassy
lane                       	lane
bordered                   	bordered
with                       	with
wild                       	wild
rose                       	rose
bushes.                    	bushes.
“It’s                      	"It's                      	.
no                         	no
wonder                     	wonder
Matthew                    	Matthew
and                        	and
Marilla                    	Marilla
are                        	are
both                       	both
a                          	a
little                     	little
odd,                       	odd,
living                     	living
away                       	away
back                       	back
here                       	here
by                         	by
themselves.                	themselves.
Trees                      	Trees
aren’t                     	aren't                     	.
much                       	much
company,                   	company,
though                     	though
dear                       	dear
knows                      	knows
if                         	if
they                       	they
were                       	were
there’d                    	there'd                    	.
be                         	be
enough                     	enough
of                         	of
them.                      	them.
I’d                        	I'd                        	.
ruther                     	ruther
look                       	look
at                         	at
people.                    	people.
To                         	To
be                         	be
sure,                      	sure,
they                       	they
seem                       	seem
contented                  	contented
enough;                    	enough;
but                        	but
then,                      	then,
I                          	I
suppose,                   	suppose,
they’re                    	they're                    	.
used                       	used
to                         	to
it.                        	it.
A                          	A
body                       	body
can                        	can
get                        	get
used                       	used
to                         	to
anything,                  	anything,
even                       	even
to                         	to
being                      	being
hanged,                    	hanged,
as                         	as
the                        	the
Irishman                   	Irishman
said.”                     	said."                     	.
With                       	With
this                       	this
Mrs.                       	Mrs.
Rachel                     	Rachel
stepped                    	stepped
out                        	out
of                         	of
the                        	the
lane                       	lane
into                       	into
the                        	the
backyard                   	backyard
of                         	of
Green                      	Green
Gables.                    	Gables.
Very                       	Very
green                      	green
and                        	and
neat                       	neat
and                        	and
precise                    	precise
was                        	was
that                       	that
yard,                      	yard,
set                        	set
about                      	about
on                         	on
one                        	one
side                       	side
with                       	with
great                      	great
patriarchal                	patriarchal
willows                    	willows
and                        	and
@                          	on                         	@
the                        	the
other                      	other
with                       	with
prim                       	prim
Lombardies.                	Lombardies.
Not                        	Not
a                          	a
stray                      	stray
stick                      	stick
nor                        	nor
stone                      	stone
was                        	was
to                         	to
be                         	be
seen,                      	seen,
for                        	for
Mrs.                       	Mrs.
Rachel                     	Rachel
would                      	would
have                       	have
seen                       	seen
it                         	it
if                         	if
there                      	there
had                        	had
been.                      	been.
Privately                  	Privately
she                        	she
was                        	was
of                         	of
the                        	the
opinion                    	opinion
that                       	that
Marilla                    	Marilla
Cuthbert                   	Cuthbert
swept                      	swept
that                       	that
yard                       	yard
over                       	over
as                         	as
often                      	often
as                         	as
she                        	she
swept                      	swept
her                        	her
house.                     	house.
One                        	One
could                      	could
have                       	have
eaten                      	eaten
a                          	a
meal                       	meal
off                        	off
the                        	the
ground                     	ground
without                    	without
overbrimming               	overbrimming
the                        	the
proverbial                 	proverbial
peck                       	peck
of                         	of
dirt.                      	dirt.
Mrs.                       	Mrs.
Rachel                     	Rachel
rapped                     	rapped
smartly                    	smartly
at                         	at
the                        	the
kitchen                    	kitchen
door                       	door
and                        	and
stepped                    	stepped
in                         	in
when                       	when
bidden                     	bidden
to                         	to
do                         	do
so.                        	so.
The                        	The
kitchen                    	kitchen
at                         	at
Green                      	Green
Gables                     	Gables
was                        	was
a                          	a
cheerful                   	cheerful
apartment—or               	apartment—or
would                      	would
have                       	have
been                       	been
cheerful                   	cheerful
if                         	if
it                         	it
had                        	had
not                        	not
been                       	been
so                         	so
painfully                  	painfully
clean                      	clean
as                         	as
to                         	to
give                       	give
it                         	it
something                  	something
of                         	of
the                        	the
appearance                 	appearance
of                         	of
an                         	an
unused                     	unused
parlor.                    	parlour.                   	@
Its                        	Its
windows                    	windows
looked                     	looked
east                       	east
and                        	and
west;                      	west;
through                    	through
the                        	the
west                       	west
one,                       	one,
looking                    	looking
out                        	out
on                         	on
the                        	the
back                       	back
yard,                      	yard,
came                       	came
a                          	a
flood                      	flood
of                         	of
mellow                     	mellow
June                       	June
sunlight;                  	sunlight;
but                        	but
the                        	the
east                       	east
one,                       	one,
whence                     	whence
you                        	you
got                        	got
a                          	a
glimpse                    	glimpse
of                         	of
the                        	the
bloom                      	bloom
white                      	white
cherry-trees               	cherry-trees
in                         	in
the                        	the
left                       	left
orchard                    	orchard
and                        	and
nodding,                   	nodding,
slender                    	slender
birches                    	birches
down                       	down
in                         	in
the                        	the
hollow                     	hollow
by                         	by
the                        	the
brook,                     	brook,
was                        	was
greened                    	greened
over                       	over
by                         	by
a                          	a
tangle                     	tangle
of                         	of
vines.                     	vines.
Here                       	Here
sat                        	sat
Marilla                    	Marilla
Cuthbert,                  	Cuthbert,
when                       	when
she                        	she
sat                        	sat
at                         	at
all,                       	all,
always                     	always
slightly                   	slightly
distrustful                	distrustful
of                         	of
sunshine,                  	sunshine,
which                      	which
seemed                     	seemed
to                         	to
her                        	her
too                        	too
dancing                    	dancing
and                        	and
irresponsible              	irresponsible
a                          	a
thing                      	thing
for                        	for
a                          	a
world                      	world
which                      	which
was                        	was
meant                      	meant
to                         	to
be                         	be
taken                      	taken
seriously;                 	seriously;
and                        	and
here                       	here
she                        	she
sat                        	sat
now,                       	now,
knitting,                  	knitting,
and                        	and
the                        	the
table                      	table
behind                     	behind
her                        	her
was                        	was
laid                       	laid
for                        	for
supper.                    	supper.
Mrs.                       	Mrs.
Rachel,                    	Rachel,
before                     	before
she                        	she
had                        	had
fairly                     	fairly
closed                     	closed
the                        	the
door,                      	door,
had                        	had
taken                      	taken
mental                     	mental
note                       	note
of                         	of
everything                 	everything
that                       	that
was                        	was
on                         	on
that                       	that
table.                     	table.
There                      	There
were                       	were
three                      	three
plates                     	plates
laid,                      	laid,
so                         	so
that                       	that
Marilla                    	Marilla
must                       	must
be                         	be
expecting                  	expecting
some                       	some
one                        	one
home                       	home
with                       	with
Matthew                    	Matthew
to                         	to
tea;                       	tea;
but                        	but
the                        	the
dishes                     	dishes
were                       	were
everyday                   	every-day                  	.
dishes                     	dishes
and                        	and
there                      	there
was                        	was
only                       	only
crab-apple                 	crab-apple
preserves                  	preserves
and                        	and
one                        	one
kind                       	kind
